id,name,latitude_deg,longitude_deg,iata_code
30650,Anqing Tianzhushan Airport,30.582199,117.050003,AQG
5103,Al Qaisumah/Hafr Al Batin Airport,28.335199,46.125099,AQI
5214,Aqaba King Hussein International Airport,29.61160088,35.01810074,AQJ
37980,Nova Vida Airport,-10.17805576,-62.82555771,AQM
6233,Rodríguez Ballón International Airport,-16.34110069,-71.58309937,AQP
314582,Zaffre,52.112201,52.13004,AQQ
45040,Biaugunu Airport,-16.44937993,179.7401047,AQS
16294,Girdwood Airport,60.966099,-149.126007,AQY
19301,Acadiana Regional Airport,30.0378,-91.883904,ARA
19302,Ann Arbor Municipal Airport,42.22299957,-83.74559784,ARB
5402,Arctic Village Airport,68.1147,-145.578995,ARC
26799,Mali Airport,-8.132340431,124.5970001,ARD
6378,Antonio Nery Juarbe Pol Airport,18.45000076,-66.6753006,ARE
41015,Acaricuara Airport,0.533333,-70.133333,ARF
19303,Walnut Ridge Regional Airport,36.124667,-90.925111,ARG
6488,Talagi Airport,64.60030365,40.71670151,ARH
6001,Chacalluta Airport,-18.3484993,-70.33869934,ARI
41422,Arso Airport,-2.93333292,140.7833405,ARJ
3250,Arusha Airport,-3.367789984,36.63330078,ARK
30651,Arly Airport,11.59700012,1.48300004,ARL
26893,Armidale Airport,-30.52809906,151.6170044,ARM
2701,Stockholm-Arlanda Airport,59.65190125,17.91860008,ARN
41073,Arboletes Airport,8.85705,-76.4244,ARO
301707,Aragip Airport,-9.883333333,149.4833333,ARP
30652,El Troncal Airport,7.02106,-71.388901,ARQ
29656,D. Casimiro Szlapelis Airport,-45.013599,-70.812202,ARR
36924,Aragarças Airport,-15.8994,-52.2411,ARS
3383,Watertown International Airport,43.9919014,-76.021698,ART
5865,Araçatuba Airport,-21.1413002,-50.42470169,ARU
19306,Lakeland-Noble F. Lee Memorial field,45.92789841,-89.73090363,ARV
4471,Arad International Airport,46.17660141,21.26199913,ARW
301832,Asbury Park Neptune Air Terminal,40.21930556,-74.09083333,ARX
26891,Ararat Airport,-37.30939865,142.9889984,ARY
30653,N'zeto Airport,-7.259439945,12.86310005,ARZ
3204,Assab International Airport,13.07180023,42.64500046,ASA
26380,Ashgabat Airport,37.98680115,58.36100006,ASB
29671,Ascención De Guarayos Airport,-15.93029976,-63.15670013,ASC
4925,Andros Town Airport,24.69790077,-77.79560089,ASD
19308,Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,ASE
6520,Astrakhan Airport,46.28329849,48.00630188,ASF
29672,Ashburton Aerodrome,-43.90330124,171.7969971,ASG
19310,Boire Field,42.78170013,-71.51480103,ASH
2877,RAF Ascension Island,-7.9696,-14.3937,ASI
5577,Amami Airport,28.43059921,129.7129974,ASJ
2102,Yamoussoukro Airport,6.903170109,-5.365580082,ASK
19312,Harrison County Airport,32.52050018,-94.30780029,ASL
3202,Asmara International Airport,15.29189968,38.91070175,ASM
19313,Talladega Municipal Airport,33.56990051,-86.05090332,ASN
3169,Asosa Airport,10.01850033,34.5862999,ASO
26900,Alice Springs Airport,-23.80669975,133.9019928,ASP
19204,Austin Airport,39.4679985,-117.1949997,ASQ
4523,Kayseri Erkilet Airport,38.770401,35.49539948,ASR
41263,Arathusa Safari Lodge Airport,-24.744165,31.522499,ASS
19314,Astoria Regional Airport,46.15800095,-123.8789978,AST
6088,Silvio Pettirossi International Airport,-25.23999977,-57.52000046,ASU
28481,Amboseli Airport,-2.645050049,37.25310135,ASV
3199,Aswan International Airport,23.96439934,32.81999969,ASW
19316,John F Kennedy Memorial Airport,46.54850006,-90.91899872,ASX
19317,Ashley Municipal Airport,46.02389908,-99.3526001,ASY
301732,Asirim Airport,-6.009722222,150.3686111,ASZ
6216,Comandante FAP German Arias Graziani Airport,-9.347439766,-77.5983963,ATA
30654,Atbara Airport,17.71034431,34.05701828,ATB
4936,Arthur's Town Airport,24.6294,-75.673797,ATC
35172,Uru Harbour Airport,-8.87333,161.011002,ATD
19094,Antlers Municipal Airport,34.19260025,-95.64990234,ATE
6051,Chachoán Airport,-1.212069988,-78.57460022,ATF
32124,Minhas Air Base,33.86909866,72.40090179,ATG
4251,Eleftherios Venizelos International Airport,37.93640137,23.94449997,ATH
30655,Artigas International Airport,-30.40069962,-56.50790024,ATI
30656,Antsirabe Airport,-19.83922148,47.06371307,ATJ
5416,Atqasuk Edward Burnell Sr Memorial Airport,70.46730042,-157.4360046,ATK
3384,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,ATL
5914,Altamira Airport,-3.253910065,-52.25400162,ATM
301834,Namatanai Airport,-3.6695,152.438,ATN
21297,Ohio University Snyder Field,39.21099854,-82.23139954,ATO
301672,Aitape Airport,-3.143611111,142.3468056,ATP
26540,Sri Guru Ram Dass Jee International Airport,31.70960045,74.79730225,ATQ
3137,Atar International Airport,20.5067997,-13.04319954,ATR
19319,Artesia Municipal Airport,32.85250092,-104.4680023,ATS
11318,Atmautluak Airport,60.866699,-162.272995,ATT
16386,Casco Cove Coast Guard Station,52.82839966,173.1799927,ATU
30658,Ati Airport,13.23890018,18.31329918,ATV
19320,Appleton International Airport,44.2580986,-88.51909637,ATW
30659,Atbasar Airport,51.85169983,68.36329651,ATX
3385,Watertown Regional Airport,44.91400146,-97.15470123,ATY
3177,Assiut International Airport,27.04649925,31.01199913,ATZ
6402,Queen Beatrix International Airport,12.5014,-70.015198,AUA
6171,Santiago Perez Airport,7.06888,-70.7369,AUC
27319,Augustus Downs Airport,-18.51499939,139.878006,AUD
30660,Abu Rudeis Airport,28.89900017,33.20249939,AUE
4130,Auxerre-Branches Airport,47.85020065,3.49710989,AUF
19321,Augusta State Airport,44.3205986,-69.79730225,AUG
5226,Abu Dhabi International Airport,24.43300056,54.65110016,AUH
301735,Aua Island Airport,-1.460555556,143.0647222,AUI
301693,Ambunti Airport,-4.215666667,142.8231667,AUJ
16387,Alakanuk Airport,62.68004227,-164.6599274,AUK
30661,Aur Island Airport,8.145279884,171.1730042,AUL
19323,Austin Municipal Airport,43.66500092,-92.93340302,AUM
19324,Auburn Municipal Airport,38.95479965,-121.0820007,AUN
19325,Auburn Opelika Robert G. Pitts Airport,32.61510086,-85.43399811,AUO
301668,Agaun Airport,-9.930833,149.385667,AUP
5002,Hiva Oa-Atuona Airport,-9.768790245,-139.0110016,AUQ
4146,Aurillac Airport,44.89139938,2.421940088,AUR
308669,Austin Robert Mueller Municipal,30.29872235,-97.69978523,AUS
3386,Austin Bergstrom International Airport,30.19449997,-97.66989899,AUS
35136,Atauro Airport,-8.243133,125.606378,AUT
26894,Aurukun Airport,-13.354067,141.72065,AUU
301737,Aumo Airport,-5.731111111,148.4452778,AUV
19326,Wausau Downtown Airport,44.92620087,-89.62660217,AUW
538,Araguaína Airport,-7.22787,-48.240501,AUX
30663,Aneityum Airport,-20.24920082,169.7709961,AUY
19305,Aurora Municipal Airport,41.77190018,-88.47570038,AUZ
