origin_airport,destination_airport,SumOfSumC (tonnes),in kg
CEB,ICN," 7,422 ",7421788.424
CGK,BPN," 7,410 ",7410371.278
SYD,DXB," 7,404 ",7403532.298
LGW,DXB," 7,401 ",7401128.847
NCE,ORY," 7,393 ",7393272.115
BNE,PER," 7,368 ",7368199.908
ICN,HAN," 7,367 ",7367493.083
AKL,MEL," 7,361 ",7360955.888
BOM,CCU," 7,355 ",7354845.448
FLL,JFK," 7,354 ",7353619.93
SFO,HKG," 7,336 ",7336246.641
HGH,CAN," 7,327 ",7326552.639
TSA,HND," 7,316 ",7316341.9
PEK,KUL," 7,302 ",7301757.414
JFK,FLL," 7,295 ",7295011.421
YYZ,YEG," 7,276 ",7275841.657
SIN,PER," 7,274 ",7274312.393
FLL,LGA," 7,271 ",7270758.077
HND,HKG," 7,259 ",7259278.4
HRB,PVG," 7,233 ",7232995.925
SFO,IAD," 7,227 ",7227296.564
ICN,KUL," 7,218 ",7217970.104
JFK,SJU," 7,216 ",7216257.835
MCO,PHL," 7,204 ",7204428.113
KUL,DMK," 7,202 ",7201545.769
SYD,OOL," 7,199 ",7198634.296
BKK,PEK," 7,187 ",7187038.013
TFS,MAN," 7,176 ",7176122.107
YEG,YYZ," 7,167 ",7167046.901
SJU,JFK," 7,160 ",7159706.911
LGA,FLL," 7,125 ",7125443.084
DXB,MEL," 7,121 ",7120841.109
MAD,MEX," 7,120 ",7120261.88
URC,SHA," 7,104 ",7104413.371
HNL,SYD," 7,101 ",7101362.2
PHL,MCO," 7,085 ",7085396.042
LAX,TPE," 7,070 ",7070211.36
SYD,KUL," 7,063 ",7062788.868
CTU,SHA," 7,063 ",7062518.701
PER,DXB," 7,061 ",7061053.639
MCO,MSP," 7,057 ",7057202.084
LAX,DXB," 7,054 ",7053741.659
CTU,PVG," 7,052 ",7052306.169
TLV,EWR," 7,050 ",7049998.831
MNL,DXB," 7,049 ",7048525.995
DEL,GOI," 7,045 ",7044828.634
MAN,DXB," 7,013 ",7012783.89
URC,XIY," 7,012 ",7012274.879
CCU,BOM," 6,992 ",6992405.592
ADL,SYD," 6,989 ",6988744.774
YUL,CDG," 6,976 ",6976104.549
